dataset,content_auc,content_prauc,content_f1,session_auc,session_prauc,session_f1,fused_auc,fused_prauc,fused_f1,rf_auc,rf_prauc,rf_f1,rf_fpr,rf_recall_at_fpr05,rf_fpr_at_recall05,iforest_auc,iforest_prauc,iforest_f1,iforest_fpr,iforest_recall_at_fpr05,iforest_fpr_at_recall05,ocsvm_auc,ocsvm_prauc,ocsvm_f1,ocsvm_fpr,ocsvm_recall_at_fpr05,ocsvm_fpr_at_recall05
access_attacks_200,0.47662601626016265,0.8399359419938657,0.10344827586206896,nan,nan,nan,0.47662601626016265,0.8399359419938657,0.10344827586206896,0.9,0.9853437251372633,0.875,0.2,0.7714285714285715,0.0,0.862857142857143,0.9804021079267384,0.2926829268292683,0.0,0.7142857142857143,0.0,0.6114285714285714,0.9324376307835524,0.4090909090909091,0.0,0.3142857142857143,0.2
access_eval_mix_2000,0.691824236517219,0.9076368744061679,0.10813953488372093,nan,nan,nan,0.691824236517219,0.9076368744061679,0.10813953488372093,0.7755417956656347,0.9454461410856729,0.8187702265372169,0.5454545454545454,0.5877708978328173,0.010822510822510798,0.6648305255116401,0.8876445226568237,0.34430379746835443,0.05194805194805195,0.16718266253869968,0.33766233766233766,0.6190342165574364,0.8898649586452504,0.4358353510895884,0.0,0.29411764705882354,0.3246753246753247
access_eval_small_500,0.7136572257496848,0.9162006053759898,0.11961722488038277,nan,nan,nan,0.7136572257496848,0.9162006053759898,0.11961722488038277,0.7546600877192984,0.9186325351374222,0.8,0.5833333333333334,0.4868421052631579,0.125,0.6584429824561403,0.8576168560273765,0.39603960396039606,0.20833333333333334,0.17105263157894737,0.2916666666666667,0.6595394736842106,0.8714224440504341,0.44,0.08333333333333333,0.2894736842105263,0.3333333333333333
access_mixed_500,0.5991401405539479,0.714818121787703,0.13125,nan,nan,nan,0.5991401405539479,0.714818121787703,0.13125,0.6775527077304672,0.7993489950710493,0.6491228070175439,0.43902439024390244,0.3898305084745763,0.2926829268292683,0.5667631252583712,0.700211397036595,0.3333333333333333,0.14634146341463414,0.1864406779661017,0.4634146341463415,0.6357999173212071,0.7680735105259837,0.39473684210526316,0.04878048780487805,0.2711864406779661,0.21951219512195122
access_small_benign,0.6268237934904601,0.7394307508652969,0.16666666666666666,nan,nan,nan,0.6268237934904601,0.7394307508652969,0.16666666666666666,0.7222222222222222,0.7751277388425726,0.75,0.25,0.25,0.25,0.7569444444444444,0.837584175084175,0.5882352941176471,0.0,0.5833333333333334,0.0,0.4722222222222222,0.6252408715202328,0.4,0.0,0.25,0.75
access_super_long_session_2000,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,,,,,,,nan,0.0,0.0,0.0525,,,nan,0.0,0.0,0.0525,,
csic_eval,0.6987134533546113,0.87211762003062,0.10895847413081024,0.9766747151849635,0.9936907705867968,0.12085316939685872,0.7619257486091717,0.8915556718036335,0.1120731661606507,0.8932920160904526,0.8539868041512144,0.7811195365084774,0.3012979839823253,0.5053160504841122,0.04740195336047487,0.7119938421080321,0.6164249688098559,0.2975100401606426,0.04529135597901132,0.19288012653484998,0.26663904998619165,0.4477848211146328,0.45210136269841794,0.19427366941858423,0.023336095001380834,0.11492724150785456,0.580568213200773
nginx_json_eval_800,0.6256380595644669,0.8445906338662658,0.09309309309309309,nan,nan,nan,0.6256380595644669,0.8445906338662658,0.09309309309309309,0.6753034547152195,0.9038701859784891,0.7542372881355932,0.6176470588235294,0.3547619047619048,0.20588235294117646,0.5492530345471522,0.7996758519732385,0.14388489208633093,0.08823529411764706,0.0,0.4411764705882353,0.5511204481792717,0.8150445214155875,0.3006535947712418,0.11764705882352941,0.023809523809523808,0.5
